,Item,Patrimônio,,,,Garantia,,,,Modelo,Descrição
,99,4892,,,,28/07/2004 a 27/07/2005,,,,,EXTINTOR DE INCENDIO PÓ QUÍMICO PRESSURIZADO - DESCRICAO: 4 KG
,100,4894,,,,,,,,,"ESTANTE EM ACO - DESCRICAO: COM 5 PRATELEIRAS, MED. 3,00X0,60X16M"
,101,4923,,,,,,,,,CARRINHO COM BANDEIJA PLÁSTICA - DESCRICAO: ESTRUTURA EM AÇO NA COR PRETA
,102,4945,,,,13/08/2004 a 01/08/2005,,,,DVD-218,DVD PLAYER
,103,4965,,,,,,,,,"BANCADA DE TRABALHO . - DESCRICAO: COM 3,00X0,50X0,82CM, RODÍZIO COM FREIOS, 16 TOMADAS FÊMEAS BIPOLAR E CABO COM TOMADA"
,104,5002,,,,,,,,,"ARMARIO ALTO EM  MELAMINIO - DESCRICAO: COM DUAS PORTAS NA COR CINZA - MEDINDO 0,90X0,44X1,60M."
,105,5026,,,,20/09/2004 a 20/09/2004,,,,TAIFF TURBO,SECADOR DE CABELO PORTATIL
,106,5045,,,,18/10/2004 a 15/04/2005,,,,,"MESA PARA MICROCOMPUTADOR - DESCRICAO: EM MELAMINIO, MED. 1,70X0,68X0,75"
,107,5048,,,,28/10/2004 a 14/09/2004,,,,KX-FT71LA-B,APARELHO DE FAX
,108,5049,,,,28/10/2004 a 14/09/2004,,,,KX-FT71LA-B,APARELHO DE FAX
,109,5052,,,,28/10/2004 a 14/09/2004,,,,KX-FT71LA-B,APARELHO DE FAX
,110,5056,,,,28/10/2004 a 14/09/2004,,,,KX-FT71LA-B,APARELHO DE FAX
,111,5267,,,,02/12/2004 a 01/12/2005,,,,BC-92S HB,"MOTO BOMBA CENTRIFUGA - DESCRICAO: MONO-ESTÁGIO 1 1/2 CV/220V, SUCCÃO 1""1/4 E CHAVE DE COMANDO 1 1/2CV 220V"
,112,5273,,,,16/12/2004 a 09/06/2005,,,,,MESA PARA MICROCOMPUTADOR - DESCRICAO: EM MADEIRA MEDINDO 120X075X060 COM 01 GAVETA PARA TECLADO
,113,5330,,,,,,,,,EXTINTOR DE INCENDIO CO2 - DESCRICAO: COM 6 KG
,114,5331,,,,,,,,,EXTINTOR DE INCENDIO CO2 - DESCRICAO: COM 6 KG
,115,5507,,,,,,,,,CADEIRA  GIRATÓRIA S/BRAÇOS - DESCRICAO: COM ASSENTO E ENCOSTO EM ESPUMA
,116,5509,,,,,,,,,CADEIRA  GIRATÓRIA S/BRAÇOS - DESCRICAO: COM ASSENTO E ENCOSTO EM ESPUMA
,117,5521,,,,,,,,,CADEIRA FIXA S/BRAÇO - DESCRICAO: COM ASSENTO E ENCOSTO EM ESPUMA INJETÁVEL
,118,5526,,,,,,,,,CADEIRA FIXA S/BRAÇO - DESCRICAO: COM ASSENTO E ENCOSTO EM ESPUMA INJETÁVEL
,119,5612,,,,,,,,,POLTRONA FIXA COM BRAÇO
,120,5626,,,,,,,,,MESA PARA REUNIÃO - DESCRICAO: EM FORMA REDONDA
,121,5630,,,,,,,,,MESA INTEGRADA - DESCRICAO: COM PAINEL FRONTAL E HORIZONTAL COM 4 SUPORTES PARA CPU
