,Item,Patrimônio,,Nº Antigo,,,,,Descrição,,,Garantia,Marca,,,Modelo,,Série,
,"124,",00005760,,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA,,,,,,,,,,
,"125,",00005761,,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA,,,,,,,,,,
,"126,",00005762,,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA,,,,,,,,,,
,"127,",00005763,,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA,,,,,,,,,,
,"128,",00005790,,,,,,,"BANCADA DE TRABALHO . - DESCRICAO: ESTRUTURA METALICA NA COR PRETA, COM TAMPO EM MELAMINIO BRANCO GELO, MED. 2,75X0,50X0,82, COM RODÍZIOS",,,,,,,,,,
,"129,",00005807,,,,,,,MESA EM MELAMINIO,,,,,,,,,,
,"130,",00005809,,,,,,,"MESA INTEGRADA - DESCRICAO: TIPO U, COM 2 SUPORTES PARA CPU",,,,,,,,,,
,"131,",00005887,,,,,,,CADEIRA GIRATORIA EM TECIDO - DESCRICAO: NA COR AZUL MARINH0.,,,22/07/2005 a 22/07/2006,CADERODE,,,5012-03 + 5021,,,
,"132,",00005892,,,,,,,CADEIRA GIRATORIA EM TECIDO - DESCRICAO: NA COR AZUL MARINH0.,,,22/07/2005 a 22/07/2006,CADERODE,,,5012-03 + 5021,,,
,"133,",00005906,,,,,,,CADEIRA GIRATORIA EM TECIDO - DESCRICAO: NA COR AZUL MARINH0.,,,22/07/2005 a 22/07/2006,CADERODE,,,5012-03 + 5021,,,
,"134,",00005938,,,,,,,"BALCAO EM MADEIRA - DESCRICAO: MACIÇA MEDINDO 3,95 X1,30X0,60M.",,,,,,,,,,
,"135,",00005947,,,,,,,FOGAO TIPO RESIDENCIAL - DESCRICAO: COM COM 04 BOCAS,,,12/08/2005 a 12/08/2006,CONTINENTAL,,,,,,
,"136,",00005975,,,,,,,MOTO BOMBA CENTRIFUGA - DESCRICAO: 1/2 CV COM SAÍDA 3/4,,,,THEBE,,,,,,
,"137,",00005992,,,,,,,EXTINTOR DE INCENDIO CO2 - DESCRICAO: 6 KG,,,,,,,,,,
,"138,",00006000,,,,,,,"PRATELEIRA COM TAMPA - DESCRICAO: EM MADEIRA ESTRUTURA DE FERRO, COM SUPORTE E MÃO-DE-FORCA, INSTALADA A PARTIR 2 METROS DE ALTURA DO CHÃO, PROFUNDIDADE DE 40 CM, ALTURA DE 50 CM CADA UMA, 1 (UMA) PARTE DE 3 METROS E 1(UMA) PARTE DE 4 METROS",,,,,,,,,,
,"139,",00006001,,,,,,,"PRATELEIRA COM TAMPA - DESCRICAO: EM MADEIRA ESTRUTURA DE FERRO, COM SUPORTE E MÃO-DE-FORCA, INSTALADA A PARTIR 2 METROS DE ALTURA DO CHÃO, PROFUNDIDADE DE 40 CM, ALTURA DE 50 CM CADA UMA, 1 (UMA) PARTE DE 3 METROS E 1(UMA) PARTE DE 4 METROS",,,,,,,,,,
,"140,",00006002,,,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 10.000BTUS DE 220WATS,,,22/12/2005 a 22/12/2006,SPRINGER,,,MCA105BB,,2705897652,
,"141,",00006003,,,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 10.000BTUS DE 220WATS,,,22/12/2005 a 22/12/2006,SPRINGER,,,MCA105BB,,2405897641,
,"142,",00006066,,,,,,,MONITOR DE VIDEO POLICROMATICO,,,24/02/2006 a 24/02/2008,IBM,,,,,VG-32809,
,"143,",00006070,,,,,,,TECLADO PARA MICROCOMPUTADOR,,,24/02/2006 a 24/02/2008,IBM,,,,,0138775,
,"144,",00006159,,,,,,,MICROCOMPUTADOR COM PROCESSADOR PENTIUM IV,,,,IBM,,,,,L1AK6DK,
,"145,",00006205,,,,,,,MONITOR DE VIDEO POLICROMATICO,,,22/04/2006 a 16/03/2009,IBM,,,,,VR09028,
,"146,",00006307,,,,,,,DVD PLAYER - DESCRICAO: PORTÁTIL,,,,GRADIENTE,,,DT-320,,57U266729A5K,
,"147,",00006308,,,,,,,ROTEADOR PARA REDES,,,,DIGITEL,,,2G 3201,,7802606,
,"148,",00006315,,,,,,,GAVETEIRO VOLANTE EM MELAMINIO - DESCRICAO: COM 3 GAVETAS / CHAVES NA COR CINZA.,,,,CADERODE,,,,,,
,"149,",00006323,,,,,,,TELEVISOR EM CORES - DESCRICAO: 34 POLEGADAS,,,06/06/2006 a 20/04/2007,SONY,,,KV-34FS110,,3002026,
,"150,",00006328,,,,,,,SWITCH  ,,,07/06/2006 a 01/03/2009,CISCO,,,2950T,,FOC1002Z349,
,"151,",00006369,,,,,,,DVD PLAYER,,,30/08/2006 a 30/01/2007,GRADIENTE,,,D-203,,25U289925H6E,
,"152,",00006379,,,,,,,APARELHO DE GPS (SISTEMA DE POSICIONAMENTO GLOBAL) - DESCRICAO: NR. SÉRIE 74969798,,,05/09/2006 a 29/01/2007,GARMIN,,,MAP 60CSX,,,
,"153,",00006399,,,,,,,"BALCAO PARA ATENDIMENTO - DESCRICAO: EM MELAMINIO COM PAINÉIS 1,20 X0,73M 1MEDINDO 0,90X1,08M   COM DOIS  MÓDULOS",,,,,,,,,,
,"154,",00006400,,,,,,,"BALCAO PARA ATENDIMENTO - DESCRICAO: EM MELAMINIO COM PAINÉIS 1,20 X0,73M 1MEDINDO 0,90X1,08M   -   COM  DOIS  MÓDULOS  .",,,,,,,,,,
