Item;Patrimônio;Garantia;Garantia_fim;Marca;Modelo;Série;Modelo;Descrição;
98;4889;;;;;;ESTANTE EM ACO ; COM 5 PRATELEIRAS; MED 3;00X0;60X16M;;
99;4892;28/07/2004 ; 27/07/2005;;;;EXTINTOR DE INCENDIO PÓ QUÍMICO PRESSURIZADO ; 4 KG;
100;4894;;;;;;ESTANTE EM ACO ; COM 5 PRATELEIRAS; MED 3;00X0;60X16M;;
101;4923;;;;;;CARRINHO COM BANDEIJA PLÁSTICA ; ESTRUTURA EM AÇO NA COR PRETA;
102;4945;13/08/2004 ; 01/08/2005;;COBY;DVD-218;DVD PLAYER;;
103;4965;;;;;;BANCADA DE TRABALHO  ; COM 3;00X0;50X0;82CM; RODÍZIO COM FREIOS; 16 TOMADAS FÊMEAS BIPOLAR E CABO COM TOMADA;;
104;5002;;;GIOBEL;;;ARMARIO ALTO EM  MELAMINIO ; COM DUAS PORTAS NA COR CINZA - MEDINDO 0;90X0;44X1;60M;;
105;5026;20/09/2004 ; 20/09/2004;;DAIHATSU;TAIFF TURBO;SECADOR DE CABELO PORTATIL;;
106;5045;18/10/2004 ; 15/04/2005;;GIOBEL;;MESA PARA MICROCOMPUTADOR ; EM MELAMINIO; MED 1;70X0;68X0;75;;
107;5048;28/10/2004 ; 14/09/2004;;PANASONIC;KX-FT71LA-B;APARELHO DE FAX;;
108;5049;28/10/2004 ; 14/09/2004;;PANASONIC;KX-FT71LA-B;APARELHO DE FAX;;
109;5052;28/10/2004 ; 14/09/2004;;PANASONIC;KX-FT71LA-B;APARELHO DE FAX;;
110;5056;28/10/2004 ; 14/09/2004;;PANASONIC;KX-FT71LA-B;APARELHO DE FAX;;
111;5267;02/12/2004 ; 01/12/2005;;SCHNEIDER;BC-92S HB;MOTO BOMBA CENTRIFUGA ; MONO-ESTÁGIO 1 1/2 CV/220V; SUCCÃO 11/4 E CHAVE DE COMANDO 1 1/2CV 220V;;
112;5273;16/12/2004 ; 09/06/2005;;;;MESA PARA MICROCOMPUTADOR ; EM MADEIRA MEDINDO 120X075X060 COM 01 GAVETA PARA TECLADO;
113;5330;;;;;;EXTINTOR DE INCENDIO CO2 ; COM 6 KG;
114;5331;;;;;;EXTINTOR DE INCENDIO CO2 ; COM 6 KG;
115;5507;;;;;;CADEIRA  GIRATÓRIA S/BRAÇOS ; COM ASSENTO E ENCOSTO EM ESPUMA;
116;5509;;;;;;CADEIRA  GIRATÓRIA S/BRAÇOS ; COM ASSENTO E ENCOSTO EM ESPUMA;
117;5521;;;;;;CADEIRA FIXA S/BRAÇO ; COM ASSENTO E ENCOSTO EM ESPUMA INJETÁVEL;
118;5526;;;;;;CADEIRA FIXA S/BRAÇO ; COM ASSENTO E ENCOSTO EM ESPUMA INJETÁVEL;
119;5612;;;;;;POLTRONA FIXA COM BRAÇO;;
120;5626;;;;;;MESA PARA REUNIÃO ; EM FORMA REDONDA;
121;5630;;;;;;MESA INTEGRADA ; COM PAINEL FRONTAL E HORIZONTAL COM 4 SUPORTES PARA CPU;
122;5740;;;;;;POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA;;
123;5741;;;;;;POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA;;
124;5760;;;;;;POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA;;
125;5761;;;;;;POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA;;
126;5762;;;;;;POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA;;
127;5763;;;;;;POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA;;
128;5790;;;;;;BANCADA DE TRABALHO  ; ESTRUTURA METALICA NA COR PRETA; COM TAMPO EM MELAMINIO BRANCO GELO; MED 2;75X0;50X0;82; COM RODÍZIOS;;
129;5807;;;;;;MESA EM MELAMINIO;;
130;5809;;;;;;MESA INTEGRADA ; TIPO U; COM 2 SUPORTES PARA CPU;;
131;5887;22/07/2005 ; 22/07/2006;;CADERODE;5012-03 + 5021;CADEIRA GIRATORIA EM TECIDO ; NA COR AZUL MARINH0;
132;5892;22/07/2005 ; 22/07/2006;;CADERODE;5012-03 + 5021;CADEIRA GIRATORIA EM TECIDO ; NA COR AZUL MARINH0;
133;5906;22/07/2005 ; 22/07/2006;;CADERODE;5012-03 + 5021;CADEIRA GIRATORIA EM TECIDO ; NA COR AZUL MARINH0;
134;5938;;;;;;BALCAO EM MADEIRA ; MACIÇA MEDINDO 3;95 X1;30X0;60M;;
135;5947;12/08/2005 ; 12/08/2006;;CONTINENTAL;;FOGAO TIPO RESIDENCIAL ; COM COM 04 BOCAS;
136;5975;;;THEBE;;;MOTO BOMBA CENTRIFUGA ; 1/2 CV COM SAÍDA 3/4;
137;5992;;;;;;EXTINTOR DE INCENDIO CO2 ; 6 KG;
138;6000;;;;;;PRATELEIRA COM TAMPA ; EM MADEIRA ESTRUTURA DE FERRO; COM SUPORTE E MÃO-DE-FORCA; INSTALADA A PARTIR 2 METROS DE ALTURA DO CHÃO; PROFUNDIDADE DE 40 CM; ALTURA DE 50 CM CADA UMA; 1 (UMA) PARTE DE 3 METROS E 1(UMA) PARTE DE 4 METROS;;
139;6001;;;;;;PRATELEIRA COM TAMPA ; EM MADEIRA ESTRUTURA DE FERRO; COM SUPORTE E MÃO-DE-FORCA; INSTALADA A PARTIR 2 METROS DE ALTURA DO CHÃO; PROFUNDIDADE DE 40 CM; ALTURA DE 50 CM CADA UMA; 1 (UMA) PARTE DE 3 METROS E 1(UMA) PARTE DE 4 METROS;;
140;6002;22/12/2005 ; 22/12/2006;;SPRINGER;MCA105BB;CONDICIONADOR DE AR DE PAREDE ; 10000BTUS DE 220WATS;
141;6003;22/12/2005 ; 22/12/2006;;SPRINGER;MCA105BB;CONDICIONADOR DE AR DE PAREDE ; 10000BTUS DE 220WATS;
142;6066;24/02/2006 ; 24/02/2008;;IBM;;MONITOR DE VIDEO POLICROMATICO;;
143;6070;24/02/2006 ; 24/02/2008;;IBM;;TECLADO PARA MICROCOMPUTADOR;;
144;6159;;;IBM;;L1AK6DK;MICROCOMPUTADOR COM PROCESSADOR PENTIUM IV;;
145;6205;22/04/2006 ; 16/03/2009;;IBM;;MONITOR DE VIDEO POLICROMATICO;;
146;6307;;;GRADIENTE;DT-320;57U266729A5K;DVD PLAYER ; PORTÁTIL;
147;6308;;;DIGITEL;2G 3201;7802606;ROTEADOR PARA REDES;;
148;6315;;;CADERODE;;;GAVETEIRO VOLANTE EM MELAMINIO ; COM 3 GAVETAS / CHAVES NA COR CINZA;
149;6323;06/06/2006 ; 20/04/2007;;SONY;KV-34FS110;TELEVISOR EM CORES ; 34 POLEGADAS;
150;6328;07/06/2006 ; 01/03/2009;;CISCO;2950T;SWITCH  ;;
151;6369;30/08/2006 ; 30/01/2007;;GRADIENTE;D-203;DVD PLAYER;;
152;6379;05/09/2006 ; 29/01/2007;;GARMIN;MAP 60CSX;APARELHO DE GPS (SISTEMA DE POSICIONAMENTO GLOBAL) ; NR SÉRIE 74969798;
153;6399;;;;;;BALCAO PARA ATENDIMENTO ; EM MELAMINIO COM PAINÉIS 1;20 X0;73M 1MEDINDO 0;90X1;08M   COM DOIS  MÓDULOS;;
154;6400;;;;;;BALCAO PARA ATENDIMENTO ; EM MELAMINIO COM PAINÉIS 1;20 X0;73M 1MEDINDO 0;90X1;08M   -   COM  DOIS  MÓDULOS  ;;
155;6463;29/12/2006 ; 12/12/2007;;SPRINGER;SILENTIA;MINI-CENTRAL DE AR CONDICIONADO ; TIPO SPLIT; CAPACIDADE 12000 BTUS;;
156;6464;29/12/2006 ; 12/12/2007;;SPRINGER;SILENTIA;MINI-CENTRAL DE AR CONDICIONADO ; TIPO SPLIT; CAPACIDADE 12000 BTUS;;
157;6468;12/01/2007 ; 22/06/2007;;BROTHER;FAX-575;APARELHO DE FAX ; - PAPEL PLANO;
158;6496;;;SUL BASES;ANATÔMICA;;CADEIRA FIXA EM TECIDO ; NA COR AZUL MARINHO;
