;Item;Patrimônio;Sit Física;Valor de Aquisição;Valor Bruto Atual;Descrição;Caracteristicas;;
;115;5507;INSERVÍVEL;273,09;27,31;CADEIRA  GIRATÓRIA S/BRAÇOS;COM ASSENTO E ENCOSTO EM ESPUMA;;
;116;5509;INSERVÍVEL;273,09;27,31;CADEIRA  GIRATÓRIA S/BRAÇOS;COM ASSENTO E ENCOSTO EM ESPUMA;;
;117;5521;INSERVÍVEL;131,03;13,1;CADEIRA FIXA S/BRAÇO;COM ASSENTO E ENCOSTO EM ESPUMA INJETÁVEL;;
;118;5526;INSERVÍVEL;131,03;13,1;CADEIRA FIXA S/BRAÇO;COM ASSENTO E ENCOSTO EM ESPUMA INJETÁVEL;;
;119;5612;INSERVÍVEL;267,2;26,72;POLTRONA FIXA COM BRAÇO;;;
;120;5626;INSERVÍVEL;511,86;51,19;MESA PARA REUNIÃO;EM FORMA REDONDA;;
;121;5630;INSERVÍVEL;2500;250;MESA INTEGRADA;COM PAINEL FRONTAL E HORIZONTAL COM 4 SUPORTES PARA CPU;;
;122;5740;INSERVÍVEL;370,2;37,02;POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA;;;
;123;5741;INSERVÍVEL;370,2;37,02;POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA;;;
;124;5760;INSERVÍVEL;370,2;37,02;POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA;;;
;125;5761;INSERVÍVEL;370,2;37,02;POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA;;;
;126;5762;INSERVÍVEL;370,2;37,02;POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA;;;
;127;5763;INSERVÍVEL;370,2;37,02;POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA;;;
;128;5790;INSERVÍVEL;773,94;77,39;BANCADA DE TRABALHO ;ESTRUTURA METALICA NA COR PRETA, COM TAMPO EM MELAMINIO BRANCO GELO, MED 2,75X0,50X0,82, COM RODÍZIOS;;
;129;5807;INSERVÍVEL;1000;100;MESA EM MELAMINIO;;;
;130;5809;INSERVÍVEL;5310,02;531;MESA INTEGRADA;TIPO U, COM 2 SUPORTES PARA CPU;;
;131;5887;INSERVÍVEL;340;34;CADEIRA GIRATORIA EM TECIDO;NA COR AZUL MARINH0;CADERODE - MODELO: 5012-03 + 5021;
;132;5892;INSERVÍVEL;340;34;CADEIRA GIRATORIA EM TECIDO;NA COR AZUL MARINH0;CADERODE - MODELO: 5012-03 + 5021;
;133;5906;INSERVÍVEL;340;34;CADEIRA GIRATORIA EM TECIDO;NA COR AZUL MARINH0;CADERODE - MODELO: 5012-03 + 5021;
;134;5938;INSERVÍVEL;500;50;BALCAO EM MADEIRA;MACIÇA MEDINDO 3,95 X1,30X0,60M;;
;135;5947;INSERVÍVEL;690;69;FOGAO TIPO RESIDENCIAL;COM COM 04 BOCAS;CONTINENTAL;
;136;5975;INSERVÍVEL;260;26;MOTO BOMBA CENTRIFUGA;1/2 CV COM SAÍDA 3/4;THEBE;
;137;5992;INSERVÍVEL;261,38;26,14;EXTINTOR DE INCENDIO CO2;6 KG;;
