Item,Patrimonio,Sit Física,Valor de Aquisição,Valor Bruto Atual,Garantia_inicio,Garantia_fim,Modelo,Descricao,Caraacteristicas
14,222,INSERVIVEL,89,"8,9",,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
15,225,INSERVIVEL,110,11,,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
16,465,INSERVIVEL,83,"8,3",,,SUPER HOBBY,FURADEIRA ELETRICA PORTATIL,
17,616,INSERVIVEL,215,"21,5",,,,MESA PARA MICROCOMPUTADOR,COM ACABAMENTO EM LAMINADO MELAMINICO
18,772,INSERVIVEL,200,20,,,,ESTANTE EM MADEIRA,CLARA COM 03 PRATELEIRAS E 02 PORTAS
19,852,INSERVIVEL,430,43,,,104,BALANCA DE PLATAFORMA,
20,1030,INSERVIVEL,341,"34,1",,,CTP-3791 P,TELEVISOR EM CORES,14 POLEGADAS
21,1053,INSERVIVEL,100,10,,,,MESA DE CENTRO,CLARA COM 03 PRATELEIRAS
22,1074,INSERVIVEL,341,"34,1",,,CTP-3791P,TELEVISOR EM CORES,14 POLEGADAS
23,1230,INSERVIVEL,93,"9,3",,,,GAVETEIRO VOLANTE EM MADEIRA,COM ACABAMENTO EM LAMINADO MELAMINICO COM 05 GAVETAS
24,1411,INSERVIVEL,141,"14,1",,,,MESA PARA ESCRITORIO EM MADEIRA,CLARA COM 03 GAVETAS
25,1895,INSERVIVEL,234,"23,4",,,,TELA PARA PROJECAO,
26,2063,INSERVIVEL,247,"24,7",,,GELAGUA,BEBEDOURO DE AGUA TIPO GARRAFAO,COR BEGE COM 02 TORNEIRAS
27,2082,INSERVIVEL,"83,2","8,32",,,,MESA PARA MAQUINA DE ESCREVER EM MADEIRA,CLARA COM 02 GAVETAS
28,2110,INSERVIVEL,380,38,,,,FICHARIO EM ACO,COR CINZA COM 08 GAVETAS
29,2111,INSERVIVEL,380,38,,,,FICHARIO EM ACO,COR CINZA COM 08 GAVETAS
30,2112,INSERVIVEL,380,38,,,,FICHARIO EM ACO,COR CINZA COM 08 GAVETAS
31,2150,INSERVIVEL,380,38,,,,FICHARIO EM ACO,COR CINZA COM 08 GAVETAS
32,2158,INSERVIVEL,190,19,,,VERONA,FOGAO TIPO RESIDENCIAL,COR BRANCA COM 04 QUEIMADORES
33,2291,INSERVIVEL,220,22,,,80,BOMBA PARA ABASTECIMENTO - GERADOR,
34,2292,INSERVIVEL,180,18,,,,EXTINTOR DE INCENDIO PQS,CAPACIDADE 04 QUILOS
35,2464,INSERVIVEL,"259,68","25,97",,,105GFNI,BEBEDOURO DE AGUA TIPO GARRAFAO,COM 02 TORNEIRAS
36,2590,INSERVIVEL,130,13,,,,ARQUIVO EM ACO,COR CINZA COM 04 GAVETAS
37,2618,INSERVIVEL,"83,72","8,37",,,,CADEIRA GIRATORIA EM TECIDO,COR PRETA COM ESTRUTURA EM METAL
38,2652,INSERVIVEL,399,"39,9",16/08/2000,14/08/2001,,REFRIGERADOR TIPO FRIGOBAR,
39,2902,INSERVIVEL,106,"10,6",,,,BANCO DE ESPERA EM PALHINA,C/ 03 LUGARES
40,2904,INSERVIVEL,106,"10,6",,,,BANCO DE ESPERA EM PALHINA,C/ 03 LUGARES
41,2907,INSERVIVEL,106,"10,6",,,,BANCO DE ESPERA EM PALHINA,C/ 03 LUGARES
42,3128,INSERVIVEL,160,16,22/06/2001,20/06/2002,,MESA PARA ESCRITORIO EM MADEIRA,DE LEI TIPO SECRETÁRIA C/ 03 GAVETAS MED 1 30 X 0 70 X 0 74 M
43,3133,INSERVIVEL,160,16,22/06/2001,20/06/2002,,MESA PARA ESCRITORIO EM MADEIRA,DE LEI TIPO SECRETARIA C/ 3 GAVETAS MED 1 30X0 70X0 74M
44,3135,INSERVIVEL,160,16,22/06/2001,20/06/2002,,MESA PARA ESCRITORIO EM MADEIRA,DE LEI TIPO SECRETÁRIA C/ 03 GAVETAS MED 1 30 X 0 70 X 0 74 M
45,3136,INSERVIVEL,160,16,22/06/2001,20/06/2002,,MESA PARA ESCRITORIO EM MADEIRA,DE LEI TIPO SECRETÁRIA C/ 03 GAVETAS MED 1 30 X 0 70 X 0 74 M
46,3256,INSERVIVEL,3499,"349,9",29/08/2001,12/08/2002,,PAINEL ELETRONICO,COM IMPRESSORA PARA SENHA(SÉRIE: 2499010708419)
47,3328,INSERVIVEL,100,10,,,,MESA PARA ESCRITORIO EM MADEIRA,C/ 02 GAVETAS
48,3350,INSERVIVEL,190,19,18/10/2001,10/10/2002,,MESA PARA ESCRITORIO EM MADEIRA,TIPO ESCRIVANINHA
49,3388,INSERVIVEL,180,18,15/03/2002,14/03/2003,,EXTINTOR DE INCENDIO CO2,de 6 k
