Item,Patrimônio,Nº Antigo,Garantia,Marca,Modelo,Série,Descrição
388,9158,,,TRAMONTINA,BALI,,"MESA DE USO DIVERSO EM PLASTICO - DESCRICAO: RETANGULAR, MEDINDO 1,36 X 0,85 X 0,72 M (COMPRIMENTO X LARGURA X ALTURA). COR BRANCA."
389,9160,,,TRAMONTINA,BALI,,"MESA DE USO DIVERSO EM PLASTICO - DESCRICAO: RETANGULAR, MEDINDO 1,36 X 0,85 X 0,72 M (COMPRIMENTO X LARGURA X ALTURA). COR BRANCA."
390,9161,,,TRAMONTINA,BALI,,"MESA DE USO DIVERSO EM PLASTICO - DESCRICAO: RETANGULAR, MEDINDO 1,36 X 0,85 X 0,72 M (COMPRIMENTO X LARGURA X ALTURA). COR BRANCA."
391,9166,,,LYCO,UH01M,UH01M12110000322,MICROFONE SEM FIO - DESCRICAO: DE MÃO. ALIMENTAÇÃO COM 2 PILHAS AA. UHF.
392,9170,,,LYCO,UH01M,UH01M12110001086,MICROFONE SEM FIO - DESCRICAO: DE MÃO. ALIMENTAÇÃO COM 2 PILHAS AA. UHF.
393,9172,,,LYCO,UH01M,UH01M12110000709,MICROFONE SEM FIO - DESCRICAO: DE MÃO. ALIMENTAÇÃO COM 2 PILHAS AA. UHF.
394,9174,,,LYCO,UH01M,UH01M12110000939,MICROFONE SEM FIO - DESCRICAO: DE MÃO. ALIMENTAÇÃO COM 2 PILHAS AA. UHF.
395,9177,,,LYCO,UH01M,UH01M12110000587,MICROFONE SEM FIO - DESCRICAO: DE MÃO. ALIMENTAÇÃO COM 2 PILHAS AA. UHF.
396,9181,,,RAGTECH,IFH 1300,12130028,NO BREAK .
397,9182,,,RAGTECH,IFH 1300,12130004,NO BREAK .
398,9183,,,RAGTECH,IFH 1300,12130015,NO BREAK .
399,9186,,,RAGTECH,IFH 1300,12130012,NO BREAK .
400,9189,,,RAGTECH,IFH 1300,12130029,NO BREAK .
401,9191,,,RAGTECH,IFH 1300,12130018,NO BREAK .
402,9215,,,EARSET,K65/X19,A458802,HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE
403,9222,,,EARSET,K65/X19,A458785,HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE
404,9224,,,SAMSUNG,SCX-5637FR,Z5W1BAKB400750T,IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL
405,9229,,,SAMSUNG,SCX-5637FR,Z5W1BAKB400911D,IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL
406,9234,,,SAMSUNG,SCX-5637FR,Z5W1BAIBC00704J,IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL
407,9237,,,SAMSUNG,SCX-5637FR,Z5W1BAIBC00768T,IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL
408,9239,,,SAMSUNG,SCX-5637FR,Z5W1BAIBC00610E,IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL
409,9243,,,,,,MESA PARA AUDIÊNCIA - DESCRICAO: OVAL. EM MELAMÍNICO. MEDIDAS 1500CM X 2000CM.
410,9251,,,ELGIN,SRFI-30000-2,1576978,CENTRAL DE AR CONDICIONADO - DESCRICAO: 30 MIL BTU'S. SPLIT. 220V. UN. EXT.: 1580949
411,9257,,,ELGIN,SRFI-30000-2,1576979,CENTRAL DE AR CONDICIONADO - DESCRICAO: 30 MIL BTU'S. SPLIT. 220V. UN. EXT.: 1580814
412,9264,,,ELECTROLUX,,20904349,MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: 9 MIL BTU'S. 200V. UN. EXT. 20903006
413,9266,,,ELECTROLUX,,20904745,MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: 9 MIL BTU'S. 200V. UN. EXT. 20903020
414,9267,,,ELECTROLUX,,20904749,MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: 9 MIL BTU'S. 200V. UN. EXT. 12006523
415,9280,,,HAYONIC,NEO 400 USB,,CAIXA DE SOM AMPLIFICADA - DESCRICAO: COM ENTRADA USB. 60W DE POTÊNCIA.
