DATA;TIPO;NR;PROCEDIMENTO;DESCRIÇÃO: MATERIAL / SERVIÇO / PATRONAL;VALOR;DEFERIDO POR;CODIGO;Unidade;TIPO DE EMPENHO;UNIDADE;OBS;COD;TIPO;OBS
16/02/22;EMP;102;237-88.2022;Curso Tesouro Gerencial Avançado;5070;PRESI;CAPAC;33903948;AC CAPPAC;SEDES;5;SEDES;ordinario;EMP1025070CAPAC/33903948-AC CAPPAC-SEDES-5
11/02/22;EMP;99;2835-49.2017;CT 05/2017 - Serviços de Comunicação de Dados - Claro;56214,47;PRESI;20GPC;33904013;TIC COMRED;STI;176;CIE ;global;"EMP9956214;4720GPC/33904013-TIC COMRED-STI-176"
11/02/22;EMP;100;2199-20.2016;CT 09/2016 - Serviços de Link dedicado - OI;24241,61;PRESI;20GPC;33904013;TIC COMRED;STI;176;CIE ;global;"EMP10024241;6120GPC/33904013-TIC COMRED-STI-176"
30/03/22;EMP;192;2830-27.2021;Aquisição de Equipamento detector de metais - tipo manual (raquete);4500;PRESI;20GPI;44905224;INV PERMAN;PROTO;58;SAO;ordinario;EMP192450020GPI/44905224-INV PERMAN-PROTO-58
12/04/22;EMP;214;2702-07.2021;Aquisição de Equipamento detector de metais - tipo pórtico;58799,4;PRESI;20GPI;44905224;INV PERMAN;PROTO;58;SAO;ordinario;"EMP21458799;420GPI/44905224-INV PERMAN-PROTO-58"
10/03/22;EMP;111;805-12.2019;Taxa de Coleta de Lixo dos imóveis da Capital - competência 2022;4615,8;PRESI;20GPC;33904710;IEF LIMPEZ;SEAD;138;SEADE;ordinario;"EMP1114615;820GPC/33904710-IEF LIMPEZ-SEAD-138"
15/02/22;EMP;101;471-41.2016; CT 6/2016 - Link Claro - IC60616AC;3511,58;PRESI;20GPC;33904013;TIC COMRED;STI;176;CIE ;global;"EMP1013511;5820GPC/33904013-TIC COMRED-STI-176"
16/02/22;INF;21;1865-49.2021;Aquisição de Acess Point;43096,5;PRESI;20GPI;44905237;INV EQUTIC;STI;83;CIE ;ordinario;"INF2143096;520GPI/44905237-INV EQUTIC-STI-83"
16/02/22;INF;22;2399-90.2021;Contratração Lavagem de Veículos;;DG;20GPC;33903919;ADM MANVEI;SETRAN;160;SETRAN;estimativo;INF2220GPC/33903919-ADM MANVEI-SETRAN-160
17/03/22;EMP;122;3442-67.2018;Reconhecimento de Dívida - DEA. Reembolso Convênio TJ/AC 36/2018.;435,76;SAO;20GPC;999999999;OUTROS;OUTRO;190;6ZE;global;"EMP122435;7620GPC/999999999-OUTROS--190"
16/02/22;EMP;103;3442-67.2018;Reembolso Convênio TJ/AC 56/2018.;9600;DG;20GPC;999999999;OUTROS;OUTRO;190;6ZE;global;EMP103960020GPC/999999999-OUTROS--190
31/03/22;EMP;199;13-87.2021;CT 6/2019  -  Serviço de vigilância monitorada eletrônica;67035,89;PRESI;20GPC;33903977;IEF VIGELE;PROTO;114;PROTO;global;"EMP19967035;8920GPC/33903977-IEF VIGELE-PROTO-114"
21/02/22;EMP;105;2809-51.2017;CT 12/2017 - Link Internet TRE/AC;91721,51;PRESI;20GPC;33904013;TIC COMRED;STI;176;CIE ;global;"EMP10591721;5120GPC/33904013-TIC COMRED-STI-176"
